sample_barcode	journal	lib_id	library_plate	sample_seq_id	seq_id	R1	R2
PaPr00000217MP	MP012	LIB-MP012-C7	LIB00006	LIB00006-MP012-C7_1	LIB00006-MP006-C7	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C7/sample_S628_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C7/sample_S628_L004_R2_001.fastq.gz
DoBa00000039MP	MP012	LIB-MP012-C8	LIB00006	LIB00006-MP012-C8_1	LIB00006-MP006-C8	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C8/sample_S633_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C8/sample_S633_L004_R2_001.fastq.gz
PaPr00000200MP	MP012	LIB-MP012-C9	LIB00006	LIB00006-MP012-C9_1	LIB00006-MP006-C9	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C9/sample_S640_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C9/sample_S640_L004_R2_001.fastq.gz
DoBa00000003MP	MP012	LIB-MP012-D11	LIB00006	LIB00006-MP012-D11_1	LIB00006-MP006-D11	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-D11/sample_S653_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-D11/sample_S653_L004_R2_001.fastq.gz
LIB-MP012-D12	MP012	LIB-MP012-D12	LIB00006	LIB00006-MP012-D12_1	LIB00006-MP006-D12	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-D12/sample_S659_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-D12/sample_S659_L004_R2_001.fastq.gz
PaPr00000085MP	MP014	LIB-MP014-E7	LIB00008	LIB00008-MP014-E7_1	LIB00008-MP014-E7	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00008-MP014-E7/sample_S682_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00008-MP014-E7/sample_S682_L004_R2_001.fastq.gz
PaPr00000172MP	MP014	LIB-MP014-G7	LIB00008	LIB00008-MP014-G7_1	LIB00008-MP014-G7	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00008-MP014-G7/sample_S684_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00008-MP014-G7/sample_S684_L004_R2_001.fastq.gz
DoBa00000076MP	MP014	LIB-MP014-B8	LIB00008	LIB00008-MP014-B8_1	LIB00008-MP014-B8	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00008-MP014-B8/sample_S687_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00008-MP014-B8/sample_S687_L004_R2_001.fastq.gz
LIB-MP012-F10	MP012	LIB-MP012-F10	LIB00006	LIB00006-MP012-F10_1	LIB00006-MP006-F10	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-F10/sample_S648_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-F10/sample_S648_L004_R2_001.fastq.gz
LIB-MP012-F3	MP012	LIB-MP012-F3	LIB00006	LIB00006-MP012-F3_1	LIB00006-MP006-F3	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-F3/sample_S602_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-F3/sample_S602_L004_R2_001.fastq.gz
PaPr00000117MP	MP014	LIB-MP014-G8	LIB00008	LIB00008-MP014-G8_1	LIB00008-MP014-G8	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00008-MP014-G8/sample_S692_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00008-MP014-G8/sample_S692_L004_R2_001.fastq.gz
DoBa00000029MP	MP012	LIB-MP012-G5	LIB00006	LIB00006-MP012-G5_1	LIB00006-MP006-G5	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-G5/sample_S618_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-G5/sample_S618_L004_R2_001.fastq.gz
LIB-MP022-C10	MP022	LIB-MP022-C10	LIB00009	LIB00009-MP022-C10_1	LIB00009-MP022-MJ363_C10	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-1/LIB00009-MP022-MJ363_C10/sample_S34_L001_R1_001.fastq.gz	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-1/LIB00009-MP022-MJ363_C10/sample_S34_L001_R2_001.fastq.gz
LIB-MP022-C3	MP022	LIB-MP022-C3	LIB00009	LIB00009-MP022-C3_1	LIB00009-MP022-MJ363_C3	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-1/LIB00009-MP022-MJ363_C3/sample_S27_L001_R1_001.fastq.gz	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-1/LIB00009-MP022-MJ363_C3/sample_S27_L001_R2_001.fastq.gz
LIB-MP022-D12	MP022	LIB-MP022-D12	LIB00009	LIB00009-MP022-D12_1	LIB00009-MP022-MJ363_D12	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-1/LIB00009-MP022-MJ363_D12/sample_S48_L001_R1_001.fastq.gz	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-1/LIB00009-MP022-MJ363_D12/sample_S48_L001_R2_001.fastq.gz
LIB-MP022-F10	MP022	LIB-MP022-F10	LIB00009	LIB00009-MP022-F10_1	LIB00009-MP022-MJ363_F10	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-1/LIB00009-MP022-MJ363_F10/sample_S70_L001_R1_001.fastq.gz	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-1/LIB00009-MP022-MJ363_F10/sample_S70_L001_R2_001.fastq.gz
LIB-MP022-F3	MP022	LIB-MP022-F3	LIB00009	LIB00009-MP022-F3_1	LIB00009-MP022-MJ363_F3	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-1/LIB00009-MP022-MJ363_F3/sample_S63_L001_R1_001.fastq.gz	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-1/LIB00009-MP022-MJ363_F3/sample_S63_L001_R2_001.fastq.gz
PaPr00000232MP	MP023	LIB-MP023-A1	LIB00010	LIB00010-MP023-A1_1	LIB00010-MP023-MJ363_A1	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-2/LIB00010-MP023-MJ363_A1/sample_S246_L002_R1_001.fastq.gz	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-2/LIB00010-MP023-MJ363_A1/sample_S246_L002_R2_001.fastq.gz
LIB-MP023-C10	MP023	LIB-MP023-C10	LIB00010	LIB00010-MP023-C10_1	LIB00010-MP023-MJ363_C10	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-2/LIB00010-MP023-MJ363_C10/sample_S279_L002_R1_001.fastq.gz	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-2/LIB00010-MP023-MJ363_C10/sample_S279_L002_R2_001.fastq.gz
